molecule,conformer_id,plane_angle_deg,interplane_distance_A,pi_overlap_pct,centroid_distance_A,slip_stack_A,bridge_dihedral_L_deg,bridge_dihedral_R_deg,energy_kcal_mol,geometry_warnings,rel_energy_kcal_mol,classification,angle_bin,dist_bin,overlap_bin
mol_824,0,75.99919734650761,7.337025219667526,6.512098909302711,7.422435473953277,1.1227685829959426,,-123.06940979460556,120.29983,interplane_distance unreliable at angle 76.0 deg (>50 deg),0.0,monomer,60-80,>7.0,0-10%
mol_825,0,79.88683723103614,3.2075819497805598,0.0,8.730403815402815,8.119813348559312,,-116.8978610651334,120.50244,interplane_distance unreliable at angle 79.9 deg (>50 deg),0.0,monomer,60-80,3.0-3.6,0-10%
mol_826,0,27.610457005191364,2.4594690975216356,0.0,8.104757379773933,7.722571070785695,,-117.40547175057071,112.43146,,0.0,monomer,20-40,<3.0,0-10%
mol_827,0,70.20830393794337,6.4404491874408984,0.0,9.573728017470518,7.0835642452434815,,-117.18018162714054,117.62499,interplane_distance unreliable at angle 70.2 deg (>50 deg),0.0,monomer,60-80,5.0-7.0,0-10%
mol_828,0,54.59459188842608,7.8084091920969465,19.150429180501483,9.750927173479454,5.8403190521816475,,-116.85779131126402,118.78281,interplane_distance unreliable at angle 54.6 deg (>50 deg),0.0,monomer,40-60,>7.0,10-25%
mol_829,0,61.3226445156072,5.530097394462354,0.0,8.673331063236317,6.681668544627209,,-120.94119651154767,119.0086,interplane_distance unreliable at angle 61.3 deg (>50 deg),0.0,monomer,60-80,5.0-7.0,0-10%
mol_830,0,53.39052480633149,6.465817572373027,0.0,7.744266980321638,4.262261627738519,,-117.37798816071827,119.37189,interplane_distance unreliable at angle 53.4 deg (>50 deg),0.0,monomer,40-60,5.0-7.0,0-10%
mol_831,0,74.46113224908805,1.1704955160827277,0.0,7.805409734600741,7.717147230151194,,-116.753776793196,113.90721,"interplane_distance unreliable at angle 74.5 deg (>50 deg); CRITICAL: likely measuring edge-to-face, not pi-pi distance",0.0,monomer,60-80,<3.0,0-10%
mol_832,0,46.528763457338854,7.5516998237760165,0.0,10.602950240616996,7.442740327096017,,-116.7290545740534,116.42276,,0.0,monomer,40-60,>7.0,0-10%
mol_833,0,26.277889677688876,6.436017347254061,1.6849986162721409,8.524077225571107,5.58905835122025,,-116.87458519773055,117.48018,,0.0,monomer,20-40,5.0-7.0,0-10%
mol_834,0,73.03322756934803,0.29262218714592386,0.0,8.399033873904783,8.393934850270755,,-116.65887077119577,117.57407,"interplane_distance unreliable at angle 73.0 deg (>50 deg); CRITICAL: likely measuring edge-to-face, not pi-pi distance",0.0,monomer,60-80,<3.0,0-10%
mol_835,0,73.68539813902981,1.1598767292312528,0.0,8.203778276044519,8.121370818740381,,-116.91662610536358,118.35011,"interplane_distance unreliable at angle 73.7 deg (>50 deg); CRITICAL: likely measuring edge-to-face, not pi-pi distance",0.0,monomer,60-80,<3.0,0-10%
mol_836,0,71.92515425429809,2.562733501699838,0.0,7.9217388510982865,7.4957550269646145,,-116.15750316871632,118.96555,interplane_distance unreliable at angle 71.9 deg (>50 deg),0.0,monomer,60-80,<3.0,0-10%
mol_837,0,67.26104437282044,1.31237333693261,0.0,8.201783569139094,8.096105850315222,,-116.95261301769865,119.43339,"interplane_distance unreliable at angle 67.3 deg (>50 deg); CRITICAL: likely measuring edge-to-face, not pi-pi distance",0.0,monomer,60-80,<3.0,0-10%
mol_838,0,77.4322283676313,2.504665667722029,0.0,8.85226453767622,8.49053810650035,,-116.97293130276269,121.50087,interplane_distance unreliable at angle 77.4 deg (>50 deg),0.0,monomer,60-80,<3.0,0-10%
mol_839,0,80.0380900752088,2.4144967519000473,0.0,8.727837053073344,8.387213187946523,,-116.26939727368352,121.70204,interplane_distance unreliable at angle 80.0 deg (>50 deg),0.0,monomer,80-90,<3.0,0-10%
mol_840,0,71.21782102891372,3.138888732075982,0.0,8.382492311508551,7.772615703876425,,-116.01966039666732,121.8566,interplane_distance unreliable at angle 71.2 deg (>50 deg),0.0,monomer,60-80,3.0-3.6,0-10%
mol_841,0,74.17637090947679,6.23162324690602,0.002365892265215621,7.014583201088999,3.2204423909799202,,-121.15360341687247,122.6235,interplane_distance unreliable at angle 74.2 deg (>50 deg),0.0,monomer,60-80,5.0-7.0,0-10%
mol_842,0,22.666256946051053,7.086837042215353,0.4111109615323822,8.690880008520427,5.0307192387952195,,-117.19444716934285,123.22746,,0.0,monomer,20-40,>7.0,0-10%
mol_843,0,19.984356976042346,0.8807645181769019,0.0,8.520502654920072,8.474858072913117,,-116.24234500930478,123.52933,,0.0,monomer,0-20,<3.0,0-10%
mol_844,0,36.97876352607118,7.429315428124274,47.07692486910514,9.395538725107784,5.75164499986175,,-116.92879501147496,114.99667,,0.0,monomer,20-40,>7.0,40-50%
mol_845,0,60.43776473287659,3.296049723964972,0.0,12.75777700718272,12.324647272119005,,-117.89612860282602,118.19663,interplane_distance unreliable at angle 60.4 deg (>50 deg),0.0,monomer,60-80,3.0-3.6,0-10%
mol_846,0,75.5685391229333,2.1401219512545384,0.0,8.720653196578798,8.453973634259718,,-117.02779625129574,119.81822,interplane_distance unreliable at angle 75.6 deg (>50 deg),0.0,monomer,60-80,<3.0,0-10%
mol_847,0,51.90524434795595,9.578161424562877,0.0,11.698476377289479,6.71663407332986,,-116.71302544206728,120.20722,interplane_distance unreliable at angle 51.9 deg (>50 deg),0.0,monomer,40-60,>7.0,0-10%
mol_848,0,88.27845143862632,3.521777866059678,20.2304823878407,7.997185403940563,7.17997597817236,,-116.65644675143581,121.16628,interplane_distance unreliable at angle 88.3 deg (>50 deg),0.0,monomer,80-90,3.0-3.6,10-25%
mol_849,0,87.28749178262943,0.7107764496639453,0.0,8.605984036413266,8.576581957493504,,-115.9670293736361,121.70885,"interplane_distance unreliable at angle 87.3 deg (>50 deg); CRITICAL: likely measuring edge-to-face, not pi-pi distance",0.0,monomer,80-90,<3.0,0-10%
mol_850,0,13.84375613499019,8.017670962096744,59.47566873801946,8.424843911907212,2.5874596196947066,,-124.52350574615163,124.53116,,0.0,monomer,0-20,>7.0,50-70%
mol_851,0,86.64243796931895,6.404097056821744,0.0,6.642167406238719,1.762364530767423,,-117.0365362913158,115.70298,interplane_distance unreliable at angle 86.6 deg (>50 deg),0.0,monomer,80-90,5.0-7.0,0-10%
mol_852,0,48.06983631353471,7.06221624440301,1.4937205913916283,10.991814509101763,8.422890710426573,,-130.18311284364339,119.69692,,0.0,monomer,40-60,>7.0,0-10%
mol_853,0,87.56297876243467,2.57067015369765,0.0,7.288320011669356,6.819916682290781,,-117.1093827705876,120.86224,interplane_distance unreliable at angle 87.6 deg (>50 deg),0.0,monomer,80-90,<3.0,0-10%
mol_854,0,48.31252940571571,7.666934038108609,0.0,9.15591709237802,5.004891632971849,,-123.13120872336489,121.74686,,0.0,monomer,40-60,>7.0,0-10%
mol_855,0,65.43148208482914,6.770111088907806,0.44961231808820196,8.992174861789556,5.9181757821855525,,-117.53295730624501,123.37054,interplane_distance unreliable at angle 65.4 deg (>50 deg),0.0,monomer,60-80,5.0-7.0,0-10%
mol_856,0,58.748787016752345,6.605854719469866,10.38631724656107,10.663176660592285,8.370544780374676,,-116.81594318729806,124.07339,interplane_distance unreliable at angle 58.7 deg (>50 deg),0.0,monomer,40-60,5.0-7.0,10-25%
mol_857,0,64.11496653651304,4.56158175314394,0.0,8.79907813537873,7.524343688447803,,-117.03043255015156,124.31107,interplane_distance unreliable at angle 64.1 deg (>50 deg),0.0,monomer,60-80,4.2-5.0,0-10%
mol_858,0,14.360724039538487,7.236701197878855,32.67688165751351,7.860011571397334,3.067562171353457,,-116.46252760509287,124.38071,,0.0,monomer,0-20,>7.0,25-40%
